2021-06-13 10:29:21.616104 [47.106693333, 7.216835833] 36.29 1.1872934374527377 None 0 0 Started autonomous drive 
2021-06-13 10:29:30.498958 [47.106697667, 7.216843667] 221.86 0.0 (47.106653985807164, 7.216847330313385) -22.0 7.0 turn_to_on_spot 168.7516251035214 -53.10837489647861 2 
2021-06-13 10:29:30.600601 [47.106697667, 7.216843667] 220.8 0.0 (47.106653985807164, 7.216847330313385) -21.0 7.0 turn_to_on_spot 168.7516251035214 -52.048374896478606 2 
2021-06-13 10:29:30.702201 [47.106697667, 7.216843667] 220.8 0.0 (47.106653985807164, 7.216847330313385) -21.0 7.0 turn_to_on_spot 168.7516251035214 -52.048374896478606 2 
2021-06-13 10:29:30.803846 [47.106697667, 7.216843667] 219.6 0.0 (47.106653985807164, 7.216847330313385) -20.0 7.0 turn_to_on_spot 168.7516251035214 -50.84837489647862 2 
2021-06-13 10:29:30.905597 [47.106697667, 7.216843667] 218.41 0.0 (47.106653985807164, 7.216847330313385) -20.0 7.0 turn_to_on_spot 168.7516251035214 -49.65837489647856 2 
2021-06-13 10:29:31.007331 [47.106697667, 7.216843667] 217.41 0.0 (47.106653985807164, 7.216847330313385) -19.0 6.0 turn_to_on_spot 168.7516251035214 -48.65837489647856 2 
2021-06-13 10:29:31.110175 [47.106697667, 7.216843667] 216.24 0.0 (47.106653985807164, 7.216847330313385) -18.0 6.0 turn_to_on_spot 168.7516251035214 -47.488374896478604 2 
2021-06-13 10:29:31.212222 [47.106697667, 7.216843667] 215.15 0.0 (47.106653985807164, 7.216847330313385) -18.0 6.0 turn_to_on_spot 168.7516251035214 -46.39837489647857 2 
2021-06-13 10:29:31.314817 [47.106697667, 7.216843667] 213.01 0.0 (47.106653985807164, 7.216847330313385) -17.0 6.0 turn_to_on_spot 168.7516251035214 -44.258374896478585 2 
2021-06-13 10:29:31.416436 [47.106696667, 7.216843833] 211.8 0.42564806269831573 (47.106653985807164, 7.216847330313385) -16.0 5.0 turn_to_on_spot 168.7516251035214 -43.048374896478606 2 
2021-06-13 10:29:31.518093 [47.106696667, 7.216843833] 210.77 0.42564806269831573 (47.106653985807164, 7.216847330313385) -15.0 5.0 turn_to_on_spot 168.7516251035214 -42.018374896478576 2 
2021-06-13 10:29:31.619687 [47.106696667, 7.216843833] 209.71 0.42564806269831573 (47.106653985807164, 7.216847330313385) -15.0 5.0 turn_to_on_spot 168.7516251035214 -40.95837489647863 2 
2021-06-13 10:29:31.721351 [47.106696667, 7.216843833] 208.53 0.42564806269831573 (47.106653985807164, 7.216847330313385) -14.0 5.0 turn_to_on_spot 168.7516251035214 -39.77837489647857 2 
2021-06-13 10:29:31.822964 [47.106696667, 7.216843833] 207.51 0.42564806269831573 (47.106653985807164, 7.216847330313385) -14.0 5.0 turn_to_on_spot 168.7516251035214 -38.758374896478585 2 
2021-06-13 10:29:31.924801 [47.106696667, 7.216843833] 206.44 0.42564806269831573 (47.106653985807164, 7.216847330313385) -13.0 4.0 turn_to_on_spot 168.7516251035214 -37.68837489647859 2 
2021-06-13 10:29:32.026463 [47.106696667, 7.216843833] 205.29 0.42564806269831573 (47.106653985807164, 7.216847330313385) -12.0 4.0 turn_to_on_spot 168.7516251035214 -36.53837489647856 2 
2021-06-13 10:29:32.128571 [47.106696667, 7.216843833] 204.04 0.0 (47.106653985807164, 7.216847330313385) -12.0 4.0 turn_to_on_spot 168.7516251035214 -35.28837489647856 2 
2021-06-13 10:29:32.230987 [47.106696667, 7.216843833] 203.03 0.0 (47.106653985807164, 7.216847330313385) -11.0 4.0 turn_to_on_spot 168.7516251035214 -34.27837489647857 2 
2021-06-13 10:29:32.333430 [47.106696667, 7.216843833] 200.94 0.0 (47.106653985807164, 7.216847330313385) -10.0 3.0 turn_to_on_spot 168.7516251035214 -32.18837489647859 2 
2021-06-13 10:29:32.435323 [47.106697333, 7.2168445] 199.74 0.3533897635113647 (47.106653985807164, 7.216847330313385) -9.0 3.0 turn_to_on_spot 168.7516251035214 -30.988374896478604 2 
2021-06-13 10:29:32.536954 [47.106697333, 7.2168445] 198.58 0.3533897635113647 (47.106653985807164, 7.216847330313385) -9.0 3.0 turn_to_on_spot 168.7516251035214 -29.828374896478635 2 
2021-06-13 10:29:32.638549 [47.106697333, 7.2168445] 197.37 0.3533897635113647 (47.106653985807164, 7.216847330313385) -8.0 3.0 turn_to_on_spot 168.7516251035214 -28.6183748964786 2 
2021-06-13 10:29:32.740199 [47.106697333, 7.2168445] 196.22 0.3533897635113647 (47.106653985807164, 7.216847330313385) -7.0 2.0 turn_to_on_spot 168.7516251035214 -27.468374896478622 2 
2021-06-13 10:29:32.841835 [47.106697333, 7.2168445] 195.17 0.3533897635113647 (47.106653985807164, 7.216847330313385) -7.0 2.0 turn_to_on_spot 168.7516251035214 -26.418374896478554 2 
2021-06-13 10:29:32.943484 [47.106697333, 7.2168445] 193.96 0.3533897635113647 (47.106653985807164, 7.216847330313385) -6.0 2.0 turn_to_on_spot 168.7516251035214 -25.20837489647863 2 
2021-06-13 10:29:33.045201 [47.106697333, 7.2168445] 192.69 0.3533897635113647 (47.106653985807164, 7.216847330313385) -5.0 2.0 turn_to_on_spot 168.7516251035214 -23.938374896478535 2 
2021-06-13 10:29:33.147229 [47.106697333, 7.2168445] 192.69 0.0 (47.106653985807164, 7.216847330313385) -5.0 2.0 turn_to_on_spot 168.7516251035214 -23.938374896478535 2 
2021-06-13 10:29:33.249490 [47.106697333, 7.2168445] 191.62 0.0 (47.106653985807164, 7.216847330313385) -5.0 2.0 turn_to_on_spot 168.7516251035214 -22.8683748964786 2 
2021-06-13 10:29:33.351442 [47.106697333, 7.2168445] 190.51 0.0 (47.106653985807164, 7.216847330313385) -4.0 1.0 turn_to_on_spot 168.7516251035214 -21.758374896478585 2 
2021-06-13 10:29:33.453188 [47.106697333, 7.2168445] 189.36 0.0 (47.106653985807164, 7.216847330313385) -3.0 1.0 turn_to_on_spot 168.7516251035214 -20.608374896478608 2 
2021-06-13 10:29:33.555009 [47.106697333, 7.2168445] 188.28 0.0 (47.106653985807164, 7.216847330313385) -3.0 1.0 turn_to_on_spot 168.7516251035214 -19.528374896478567 2 
2021-06-13 10:29:33.656686 [47.106697667, 7.216845] 187.26 0.10596540863220887 (47.106653985807164, 7.216847330313385) -2.0 1.0 turn_to_on_spot 168.7516251035214 -18.508374896478585 2 
2021-06-13 10:29:33.758263 [47.106697667, 7.216845] 186.12 0.10596540863220887 (47.106653985807164, 7.216847330313385) -2.0 1.0 turn_to_on_spot 168.7516251035214 -17.3683748964786 2 
2021-06-13 10:29:33.859971 [47.106697667, 7.216845] 185.05 0.10596540863220887 (47.106653985807164, 7.216847330313385) -1.0 0.0 turn_to_on_spot 168.7516251035214 -16.298374896478663 2 
2021-06-13 10:29:33.961567 [47.106697667, 7.216845] 184.01 0.10596540863220887 (47.106653985807164, 7.216847330313385) 0.0 -0.0 turn_to_on_spot 168.7516251035214 -15.258374896478585 2 
2021-06-13 10:29:34.063363 [47.106697667, 7.216845] 183.01 0.10596540863220887 (47.106653985807164, 7.216847330313385) 0.0 -0.0 turn_to_on_spot 168.7516251035214 -14.258374896478585 2 
2021-06-13 10:29:34.165346 [47.106697667, 7.216845] 183.01 0.0 (47.106653985807164, 7.216847330313385) 0.0 -0.0 turn_to_on_spot 168.7516251035214 -14.258374896478585 2 
2021-06-13 10:29:34.267912 [47.106697667, 7.216845] 181.98 0.0 (47.106653985807164, 7.216847330313385) 0.0 -1.0 turn_to_on_spot 168.7516251035214 -13.228374896478613 2 
2021-06-13 10:29:34.375497 [47.106698, 7.216845667] 180.94 0.27716656083426167 (47.106653985807164, 7.216847330313385) 0.0 -1.0 turn_to_on_spot 168.7516251035214 -12.188374896478535 2 
2021-06-13 10:29:34.477337 [47.106698, 7.216845667] 179.9 0.27716656083426167 (47.106653985807164, 7.216847330313385) 1.0 -2.0 turn_to_on_spot 168.7516251035214 -11.148374896478572 2 
2021-06-13 10:29:34.584577 [47.106698, 7.216845667] 178.87 0.27716656083426167 (47.106653985807164, 7.216847330313385) 1.0 -2.0 turn_to_on_spot 168.7516251035214 -10.1183748964786 2 
2021-06-13 10:29:34.686211 [47.106698, 7.216845667] 177.87 0.27716656083426167 (47.106653985807164, 7.216847330313385) 1.0 -3.0 turn_to_on_spot 168.7516251035214 -9.1183748964786 2 
2021-06-13 10:29:34.787776 [47.106698, 7.216845667] 177.87 0.27716656083426167 (47.106653985807164, 7.216847330313385) 1.0 -3.0 turn_to_on_spot 168.7516251035214 -9.1183748964786 2 
2021-06-13 10:29:34.889587 [47.106698, 7.216845667] 176.71 0.27716656083426167 (47.106653985807164, 7.216847330313385) 1.0 -4.0 turn_to_on_spot 168.7516251035214 -7.958374896478631 2 
2021-06-13 10:29:34.991413 [47.106698, 7.216845667] 175.71 0.27716656083426167 (47.106653985807164, 7.216847330313385) 1.0 -4.0 turn_to_on_spot 168.7516251035214 -6.958374896478631 2 
2021-06-13 10:29:35.093049 [47.106698, 7.216845667] 174.7 0.27716656083426167 (47.106653985807164, 7.216847330313385) 2.0 -5.0 turn_to_on_spot 168.7516251035214 -5.948374896478526 2 
2021-06-13 10:29:35.195665 [47.106698, 7.216845667] 174.7 0.0 (47.106653985807164, 7.216847330313385) 2.0 -5.0 turn_to_on_spot 168.7516251035214 -5.948374896478526 2 
2021-06-13 10:29:35.298355 [47.106698, 7.216845667] 173.61 0.0 (47.106653985807164, 7.216847330313385) 2.0 -5.0 turn_to_on_spot 168.7516251035214 -4.858374896478608 1.9 
2021-06-13 10:29:35.401196 [47.106698, 7.216847167] 173.61 0.426232015459863 (47.106653985807164, 7.216847330313385) 2.0 -5.0 turn_to_on_spot 168.7516251035214 -4.858374896478608 1.8 
2021-06-13 10:29:35.503774 [47.106698, 7.216847167] 172.56 0.426232015459863 (47.106653985807164, 7.216847330313385) 2.0 -6.0 turn_to_on_spot 168.7516251035214 -3.8083748964786537 1.7 
2021-06-13 10:29:35.605592 [47.106698, 7.216847167] 172.56 0.426232015459863 (47.106653985807164, 7.216847330313385) 2.0 -6.0 turn_to_on_spot 168.7516251035214 -3.8083748964786537 1.6 
